Jurisdiction,Acutely Low,Extremely Low,Very Low,Low,Moderate,Above Moderate,Total,Undated Permits,Last Updated
Los Alamitos,0,0,0,0,0,21,21,0,2026-08-21
Los Altos,0,47,51,138,115,246,597,0,2026-08-21
Los Altos Hills,0,0,19,19,58,19,115,0,2026-08-21
Los Angeles,0,3174,4322,10075,1490,70717,89778,526,2026-08-21
Los Angeles County (Unincorporated),0,47,208,927,39,9353,10574,0,2026-08-21
Los Banos,0,0,0,11,51,351,413,0,2026-08-21
Los Gatos,0,0,49,46,38,64,197,0,2026-08-21
Loyalton,0,0,0,0,0,0,0,0,2026-08-21
Lynwood,0,0,0,66,284,115,465,0,2026-08-21
Madera,0,0,0,0,0,0,0,0,2026-08-21
Madera County (Unincorporated),0,0,0,9,0,982,991,0,2026-08-21
Malibu,0,0,0,0,0,142,142,0,2026-08-21
Mammoth Lakes,0,8,34,143,6,256,447,0,2026-08-21
Manhattan Beach,0,0,7,0,0,493,500,0,2026-08-21
Manteca,0,0,0,0,0,600,600,0,2026-08-21
Maricopa,1,0,0,2,0,0,3,0,2026-08-21
Marin County (Unincorporated),0,1,60,88,41,165,355,0,2026-08-21
Marina,0,0,0,0,56,351,407,0,2026-08-21
Mariposa County (Unincorporated),0,0,0,1,0,302,303,0,2026-08-21
Martinez,0,11,19,19,19,69,137,0,2026-08-21
Marysville,0,0,71,75,0,13,159,0,2026-08-21
Maywood,0,0,0,0,0,26,26,0,2026-08-21
McFarland,0,0,0,0,16,73,89,0,2026-08-21
Mendocino County (Unincorporated),0,0,125,21,269,388,803,0,2026-08-21
Mendota,0,0,0,15,6,33,54,0,2026-08-21
Menifee,0,2,9,21,38,4107,4177,0,2026-08-21
Menlo Park,0,0,120,73,61,94,348,0,2026-08-21
Merced,0,11,180,69,2,665,927,0,2026-08-21
Merced County (Unincorporated),0,0,0,33,8,62,103,0,2026-08-21
Mill Valley,0,0,17,19,20,9,65,0,2026-08-21
Millbrae,0,0,18,100,27,258,403,0,2026-08-21
Milpitas,0,0,59,25,54,267,405,0,2026-08-21
Mission Viejo,5,0,11,35,5,193,249,0,2026-08-21
Modesto,0,42,42,297,26,547,954,0,2026-08-21
Modoc County (Unincorporated),0,0,2,2,22,5,31,0,2026-08-21
Mono County (Unincorporated),0,21,21,20,27,45,134,0,2026-08-21
Monrovia,0,23,23,8,21,1146,1221,0,2026-08-21
Montague,0,0,0,2,2,1,5,0,2026-08-21
Montclair,0,0,0,0,0,1224,1224,0,2026-08-21
Monte Sereno,9,5,11,6,2,23,56,0,2026-08-21
Montebello,0,0,19,43,0,779,841,0,2026-08-21
Monterey,0,0,0,5,5,113,123,0,2026-08-21
Monterey County (Unincorporated),0,0,8,53,12,366,439,0,2026-08-21
Monterey Park,0,4,4,51,34,219,312,0,2026-08-21
Moorpark,0,120,82,159,45,72,478,0,2026-08-21
Moraga,0,0,0,8,8,0,16,0,2026-08-21
Moreno Valley,0,0,0,32,523,1926,2481,0,2026-08-21
Morgan Hill,0,34,31,0,83,508,656,0,2026-08-21
Morro Bay,0,0,26,9,37,99,171,0,2026-08-21
Mount Shasta,0,0,0,2,0,6,8,0,2026-08-21
Mountain View,0,84,259,92,73,495,1003,0,2026-08-21
Murrieta,0,0,35,814,0,3070,3919,0,2026-08-21
Napa,0,0,15,64,96,306,481,0,2026-08-21
Napa County (Unincorporated),0,3,17,18,16,81,135,0,2026-08-21
National City,0,0,97,316,0,294,707,0,2026-08-21
Needles,0,0,0,0,7,9,16,0,2026-08-21
Nevada City,0,0,32,19,3,40,94,0,2026-08-21
Nevada County (Unincorporated),0,0,30,99,109,145,383,0,2026-08-21
Newark,0,20,97,19,19,273,428,0,2026-08-21
Newman,0,0,0,9,6,12,27,0,2026-08-21
Newport Beach,0,0,48,123,58,138,367,0,2026-08-21
Norco,0,0,6,7,3,124,140,0,2026-08-21
Norwalk,0,28,109,118,20,505,780,0,2026-08-21
Novato,0,0,65,20,17,18,120,0,2026-08-21
Oakdale,0,0,0,0,4,85,89,0,2026-08-21
Oakland,0,307,793,608,307,688,2703,0,2026-08-21
Oakley,0,0,3,3,23,287,316,0,2026-08-21
Oceanside,0,18,188,199,490,2105,3000,0,2026-08-21
Ojai,0,1,1,1,14,96,113,0,2026-08-21
Ontario,0,0,30,20,0,5595,5645,0,2026-08-21
Orange,0,24,100,340,258,139,861,0,2026-08-21
Orange County (Unincorporated),0,0,0,0,0,1822,1822,0,2026-08-21
Orange Cove,0,0,0,2,1,0,3,0,2026-08-21
Orinda,0,0,0,0,44,14,58,0,2026-08-21
Orland,0,0,0,0,0,0,0,0,2026-08-21
Oroville,0,56,172,31,72,129,460,0,2026-08-21
Oxnard,2,1,255,777,93,920,2048,0,2026-08-21
Pacific Grove,0,0,6,9,21,5,41,0,2026-08-21
Pacifica,0,0,21,17,11,14,63,0,2026-08-21
Palm Desert,0,356,500,303,63,1303,2525,0,2026-08-21
Palm Springs,0,0,89,202,100,666,1057,0,2026-08-21
Palmdale,0,2,13,297,41,569,922,0,2026-08-21
Palo Alto,0,16,41,47,81,447,632,0,2026-08-21
Palos Verdes Estates,20,0,7,3,0,20,50,0,2026-08-21
Paradise,0,11,41,483,719,574,1828,0,2026-08-21
Paramount,1,11,55,62,21,90,240,0,2026-08-21
Parlier,0,0,0,0,2,50,52,0,2026-08-21
Pasadena,0,0,129,51,480,1383,2043,0,2026-08-21
Paso Robles,0,0,88,182,373,418,1061,0,2026-08-21
Patterson,0,0,0,0,0,176,176,0,2026-08-21
Perris,0,0,0,0,2,1327,1329,0,2026-08-21
Petaluma,0,0,125,131,24,85,365,0,2026-08-21
Pico Rivera,0,0,0,0,0,386,386,0,2026-08-21
Piedmont,0,0,12,21,16,7,56,0,2026-08-21
Pinole,0,0,29,12,8,50,99,0,2026-08-21
Pismo Beach,0,0,23,53,23,76,175,0,2026-08-21
Pittsburg,0,0,0,63,188,40,291,0,2026-08-21
Placentia,0,0,0,128,36,540,704,0,2026-08-21
Placer County (Unincorporated),0,0,36,213,333,2986,3568,0,2026-08-21
Placerville,0,0,35,110,36,83,264,0,2026-08-21
Pleasant Hill,0,0,9,12,38,42,101,0,2026-08-21
Pleasanton,0,11,22,51,58,326,468,0,2026-08-21
Plumas County (Unincorporated),0,0,17,40,102,166,325,0,2026-08-21
Plymouth,0,0,0,0,0,22,22,0,2026-08-21
Point Arena,0,0,0,0,0,0,0,0,2026-08-21
Pomona,0,0,0,0,0,47,47,0,2026-08-21
Port Hueneme,0,0,0,18,0,40,58,0,2026-08-21
Porterville,0,0,1,131,31,168,331,0,2026-08-21
Portola,0,0,0,0,0,2,2,0,2026-08-21
Portola Valley,0,0,9,19,7,9,44,0,2026-08-21
Poway,0,0,1,0,107,393,501,0,2026-08-21
Rancho Cordova,0,0,18,95,565,3003,3681,0,2026-08-21
Rancho Cucamonga,0,6,43,76,50,2151,2326,0,2026-08-21
Rancho Mirage,0,0,58,176,0,479,713,0,2026-08-21
Rancho Palos Verdes,0,3,3,46,1,32,85,0,2026-08-21
Rancho Santa Margarita,0,0,5,1,2,0,8,0,2026-08-21
Red Bluff,0,0,0,8,16,7,31,0,2026-08-21
Redding,1,33,280,245,265,640,1464,0,2026-08-21
Redlands,0,68,190,165,56,445,924,0,2026-08-21
Redondo Beach,0,0,24,64,15,514,617,0,2026-08-21
Redwood City,0,53,155,230,74,644,1156,0,2026-08-21
Reedley,0,17,47,43,8,101,216,0,2026-08-21
Rialto,0,0,37,17,0,922,976,0,2026-08-21
Richmond,0,0,62,10,25,328,425,0,2026-08-21
Ridgecrest,0,0,0,30,54,16,100,0,2026-08-21
Rio Dell,0,0,2,5,3,5,15,0,2026-08-21
Rio Vista,0,0,0,0,0,216,216,0,2026-08-21
Ripon,0,0,0,0,0,106,106,0,2026-08-21
Riverbank,0,0,0,0,8,282,290,0,2026-08-21
Riverside,0,0,22,258,35,3026,3341,0,2026-08-21
Riverside County (Unincorporated),0,0,0,316,131,7751,8198,0,2026-08-21
Rocklin,0,28,132,242,39,1106,1547,0,2026-08-21
Rohnert Park,0,0,9,9,2,249,269,0,2026-08-21
Rolling Hills,0,0,0,0,4,8,12,0,2026-08-21
Rolling Hills Estates,0,0,3,14,2,12,31,0,2026-08-21
Rosemead,0,0,0,11,0,714,725,0,2026-08-21
Roseville,0,95,496,1037,2484,3784,7896,0,2026-08-21
Ross,0,0,10,12,11,8,41,0,2026-08-21
Sacramento,0,912,1760,3300,4079,3613,13664,0,2026-08-21
Sacramento County (Unincorporated),0,133,167,800,725,2796,4621,0,2026-08-21
Saint Helena,0,0,6,11,6,25,48,0,2026-08-21
Salinas,0,0,0,0,0,443,443,0,2026-08-21
San Anselmo,0,0,7,36,7,11,61,0,2026-08-21
San Benito County (Unincorporated),0,11,11,0,0,289,311,0,2026-08-21
San Bernardino,0,23,98,791,53,430,1395,0,2026-08-21
San Bernardino County (Unincorporated),0,6,45,315,838,1867,3071,0,2026-08-21
San Bruno,0,0,56,469,35,23,583,0,2026-08-21
San Carlos,0,0,17,17,28,89,151,0,2026-08-21
San Clemente,0,0,6,28,59,234,327,0,2026-08-21
San Diego,0,9,2384,2907,1360,28815,35475,0,2026-08-21
San Diego County (Unincorporated),0,42,455,1062,1055,3180,5794,0,2026-08-21
San Dimas,0,0,0,0,0,157,157,0,2026-08-21
San Fernando,0,0,4,125,55,51,235,0,2026-08-21
San Francisco,0,258,1427,1215,963,2203,6066,0,2026-08-21
San Gabriel,0,0,0,268,0,175,443,0,2026-08-21
San Jacinto,0,0,0,28,6,1080,1114,0,2026-08-21
San Joaquin,0,0,0,0,0,0,0,0,2026-08-21
San Joaquin County (Unincorporated),0,0,0,0,0,1788,1788,0,2026-08-21
San Jose,0,471,1687,1874,2159,1665,7856,0,2026-08-21
San Juan Bautista,0,0,0,0,4,3,7,0,2026-08-21
San Juan Capistrano,0,0,53,34,39,313,439,0,2026-08-21
San Leandro,0,0,44,47,48,36,175,0,2026-08-21
San Luis Obispo,0,184,290,293,72,1531,2370,0,2026-08-21
San Luis Obispo County (Unincorporated),0,0,0,178,200,793,1171,0,2026-08-21
San Marcos,0,59,155,269,923,1183,2589,0,2026-08-21
San Marino,0,0,15,0,0,113,128,0,2026-08-21
San Mateo,0,0,87,80,71,319,557,0,2026-08-21
San Mateo County (Unincorporated),0,0,152,172,79,140,543,0,2026-08-21
San Pablo,0,0,0,59,56,26,141,0,2026-08-21
San Rafael,0,0,49,33,8,90,180,0,2026-08-21
San Ramon,0,1,17,9,14,286,327,0,2026-08-21
Sand City,0,0,0,0,0,0,0,0,2026-08-21
Sanger,0,0,0,0,1,30,31,0,2026-08-21
Santa Ana,0,0,393,441,267,3497,4598,0,2026-08-21
Santa Barbara,0,0,83,103,71,414,671,0,2026-08-21
Santa Barbara County (Unincorporated),0,0,114,494,23,601,1232,0,2026-08-21
Santa Clara,0,7,103,238,136,1062,1546,0,2026-08-21
Santa Clara County (Unincorporated),0,0,0,0,0,438,438,0,2026-08-21
Santa Clarita,0,0,0,0,0,1265,1265,0,2026-08-21
Santa Cruz,0,161,378,350,86,124,1099,0,2026-08-21
Santa Cruz County (Unincorporated),0,9,9,98,51,44,211,0,2026-08-21
Santa Fe Springs,11,2,94,41,19,32,199,0,2026-08-21
Santa Maria,125,0,15,1129,0,534,1803,0,2026-08-21
Santa Monica,0,3,169,112,94,1314,1692,0,2026-08-21
Santa Paula,0,0,7,62,0,0,69,0,2026-08-21
Santa Rosa,0,13,249,258,89,2249,2858,0,2026-08-21
Santee,1,0,0,5,189,204,399,0,2026-08-21
Saratoga,0,0,80,90,82,198,450,0,2026-08-21
Sausalito,0,0,6,10,10,5,31,0,2026-08-21
Scotts Valley,2,31,36,56,0,38,163,0,2026-08-21
Seal Beach,0,0,0,0,11,23,34,0,2026-08-21
Seaside,0,0,0,0,33,35,68,0,2026-08-21
Sebastopol,0,10,60,18,5,41,134,0,2026-08-21
Selma,0,0,0,0,0,63,63,0,2026-08-21
Shafter,0,0,0,0,0,743,743,0,2026-08-21
Shasta County (Unincorporated),3,5,54,72,58,669,861,0,2026-08-21
Shasta Lake,0,11,27,65,4,8,115,0,2026-08-21
Sierra County (Unincorporated),0,1,8,7,7,10,33,0,2026-08-21
Sierra Madre,0,0,13,67,4,50,134,0,2026-08-21
Signal Hill,0,0,0,0,0,37,37,0,2026-08-21
Simi Valley,0,33,114,270,158,832,1407,0,2026-08-21
Siskiyou County (Unincorporated),0,0,4,2,0,115,121,0,2026-08-21
